threshold,precision,recall,f1
0.0046422933,0.012867898699520876,0.9591836734693877,0.02539511008789132
0.00464239,0.012869660460021906,0.9591836734693877,0.02539854093226959
0.0046424144,0.012871422702998767,0.9591836734693877,0.025401972703777802
0.0046432675,0.012873185428649686,0.9591836734693877,0.025405405402791834
0.0046433466,0.01287494863717299,0.9591836734693877,0.025408839029687744
0.004646122,0.012876712328767123,0.9591836734693877,0.025412273584841803
0.0046468694,0.012878476503630634,0.9591836734693877,0.02541570906863048
0.004647002,0.012880241161962182,0.9591836734693877,0.025419145481430466
0.004647156,0.012882006303960532,0.9591836734693877,0.025422582823618627
0.004648694,0.012883771929824562,0.9591836734693877,0.025426021095572054
0.004649327,0.012885538039753256,0.9591836734693877,0.02542946029766804
0.0046500047,0.012887304633945709,0.9591836734693877,0.02543290043028407
0.00465221,0.012889071712601124,0.9591836734693877,0.025436341493797844
0.0046525984,0.012890839275918815,0.9591836734693877,0.02543978348858727
0.0046531023,0.012892607324098204,0.9591836734693877,0.025443226415030443
0.004653166,0.012894375857338821,0.9591836734693877,0.025446670273505684
0.0046538883,0.012896144875840307,0.9591836734693877,0.025450115064391498
0.004655172,0.012897914379802415,0.9591836734693877,0.025453560788066622
0.0046553374,0.012899684369425004,0.9591836734693877,0.025457007444909967
0.004655883,0.012901454844908043,0.9591836734693877,0.02546045503530067
0.0046560536,0.012903225806451613,0.9591836734693877,0.025463903559618063
0.0046579456,0.012904997254255904,0.9591836734693877,0.025467353018241698
0.004658001,0.012906769188521214,0.9591836734693877,0.025470803411551314
0.004658414,0.012908541609447955,0.9591836734693877,0.025474254739926865
0.0046587815,0.012910314517236643,0.9591836734693877,0.025477707003748518
0.004659199,0.012912087912087911,0.9591836734693877,0.025481160203396632
0.0046592434,0.012913861794202501,0.9591836734693877,0.025484614339251782
0.004659606,0.012915636163781259,0.9591836734693877,0.025488069411694743
0.0046630306,0.012917411021025147,0.9591836734693877,0.0254915254211065
0.0046662674,0.01291918636613524,0.9591836734693877,0.02549498236786825
0.004666996,0.012920962199312715,0.9591836734693877,0.02549844025236139
0.0046671047,0.012922738520758868,0.9591836734693877,0.025501899074967523
0.004667692,0.0129245153306751,0.9591836734693877,0.025505358836068456
0.004668505,0.012926292629262925,0.9591836734693877,0.025508819536046216
0.004668915,0.012928070416723971,0.9591836734693877,0.02551228117528303
0.0046719206,0.012929848693259973,0.9591836734693877,0.02551574375416133
0.0046721133,0.012931627459072774,0.9591836734693877,0.02551920727306376
0.0046726745,0.012933406714364337,0.9591836734693877,0.025522671732373166
0.0046735927,0.012935186459336728,0.9591836734693877,0.025526137132472614
0.004674593,0.012936966694192129,0.9591836734693877,0.02552960347374536
0.004675982,0.012938747419132828,0.9591836734693877,0.025533070756574884
0.0046760244,0.012940528634361233,0.9591836734693877,0.025536538981344864
0.0046762843,0.012942310340079857,0.9591836734693877,0.0255400081484392
0.004677565,0.012944092536491324,0.9591836734693877,0.02554347825824198
0.004678082,0.012945875223798375,0.9591836734693877,0.025546949311137518
0.0046789837,0.012947658402203856,0.9591836734693877,0.025550421307510333
0.0046791923,0.012949442071910731,0.9591836734693877,0.02555389424774515
0.0046799853,0.012951226233122072,0.9591836734693877,0.025557368132226907
0.004680161,0.012953010886041064,0.9591836734693877,0.025560842961340743
0.004681105,0.012954796030871003,0.9591836734693877,0.025564318735472012
0.004682827,0.0129565816678153,0.9591836734693877,0.025567795455006287
0.004683229,0.012958367797077475,0.9591836734693877,0.025571273120329335
0.004683907,0.01296015441886116,0.9591836734693877,0.02557475173182714
0.0046844496,0.012961941533370104,0.9591836734693877,0.025578231289885893
0.0046880012,0.012963729140808164,0.9591836734693877,0.025581711794892006
0.0046884087,0.01296551724137931,0.9591836734693877,0.02558519324723209
0.004692153,0.012967305835287626,0.9591836734693877,0.025588675647292967
0.0046934066,0.012969094922737307,0.9591836734693877,0.025592158995461675
0.0046943803,0.012970884503932661,0.9591836734693877,0.025595643292125457
0.0046946565,0.012972674579078112,0.9591836734693877,0.025599128537671777
0.0046949107,0.012974465148378193,0.9591836734693877,0.025602614732488302
0.0046955547,0.012976256212037547,0.9591836734693877,0.025606101876962897
0.0046964013,0.012978047770260941,0.9591836734693877,0.025609589971483673
0.0046969387,0.012979839823253245,0.9591836734693877,0.025613079016438924
0.004696992,0.012981632371219444,0.9591836734693877,0.025616569012217157
0.004698555,0.012983425414364641,0.9591836734693877,0.02562005995920711
0.0047004595,0.012985218952894046,0.9591836734693877,0.02562355185779771
0.004700759,0.012987012987012988,0.9591836734693877,0.025627044708378115
0.0047010486,0.012988807516926904,0.9591836734693877,0.02563053851133768
0.0047033764,0.012990602542841349,0.9591836734693877,0.02563403326706598
0.004703794,0.012992398064961991,0.9591836734693877,0.02563752897595281
0.004704084,0.01299419408349461,0.9591836734693877,0.02564102563838816
0.004705142,0.0129959905986451,0.9591836734693877,0.025644523254762245
0.00470734,0.012997787610619468,0.9591836734693877,0.02564802182546549
0.004708719,0.012999585119623841,0.9591836734693877,0.025651521350888537
0.00471031,0.013001383125864454,0.9591836734693877,0.025655021831422233
0.0047104396,0.013003181629547656,0.9591836734693877,0.025658523267457645
0.0047108983,0.013004980630879912,0.9591836734693877,0.025662025659386047
0.0047116317,0.013006780130067801,0.9591836734693877,0.02566552900759894
0.0047130403,0.013008580127318018,0.9591836734693877,0.02566903331248802
0.0047130873,0.01301038062283737,0.9591836734693877,0.025672538574445215
0.0047141635,0.01301218161683278,0.9591836734693877,0.02567604479386265
0.004716222,0.013013983109511284,0.9591836734693877,0.02567955197113268
0.004717749,0.013015785101080033,0.9591836734693877,0.025683060106647868
0.0047222287,0.013017587591746295,0.9591836734693877,0.025686569200800986
0.0047236253,0.01301939058171745,0.9591836734693877,0.025690079253985035
0.004724412,0.013021194071200998,0.9591836734693877,0.02569359026659321
0.0047244527,0.013022998060404543,0.9591836734693877,0.025697102239018936
0.0047278553,0.013024802549535818,0.9591836734693877,0.025700615171655852
0.004727954,0.013026607538802661,0.9591836734693877,0.025704129064897815
0.0047282255,0.013028413028413028,0.9591836734693877,0.02570764391913888
0.00472913,0.013030219018574993,0.9591836734693877,0.02571115973477334
0.0047292355,0.013032025509496743,0.9591836734693877,0.025714676512195694
0.004729287,0.013033832501386578,0.9591836734693877,0.02571819425180065
0.004729866,0.01303563999445292,0.9591836734693877,0.025721712953983147
0.004730142,0.0130374479889043,0.9591836734693877,0.025725232619138318
0.0047305375,0.01303925648494937,0.9591836734693877,0.02572875324766154
